"Time (s)","Illuminance (lx)"
2.679769617E2,2.590000000E2
2.681569397E2,2.610000000E2
2.683369167E2,2.580000000E2
2.686968717E2,2.560000000E2
2.688768557E2,2.550000000E2
2.690568357E2,2.560000000E2
2.692368137E2,2.570000000E2
2.694167907E2,2.590000000E2
2.701367037E2,2.600000000E2
2.704966587E2,2.590000000E2
2.719365634E2,2.600000000E2
2.721165464E2,2.610000000E2
2.722965274E2,2.630000000E2
2.724765034E2,2.620000000E2
2.726564824E2,2.610000000E2
2.731964174E2,2.620000000E2
2.733763954E2,2.640000000E2
2.737363504E2,2.630000000E2
2.739163264E2,2.610000000E2
2.751761993E2,2.600000000E2
2.753561793E2,2.590000000E2
2.757161333E2,2.600000000E2
2.758961103E2,2.590000000E2
2.760760883E2,2.600000000E2
2.766160303E2,2.590000000E2
2.780558593E2,2.600000000E2
2.782358373E2,2.590000000E2
2.784158956E2,2.600000000E2
2.789558326E2,2.590000000E2
2.791358086E2,2.600000000E2
2.794957636E2,2.610000000E2
2.796757516E2,2.620000000E2
2.798557276E2,2.630000000E2
2.802156826E2,2.640000000E2
2.805756376E2,2.630000000E2
2.809355956E2,2.640000000E2
2.812955506E2,2.630000000E2
2.814755266E2,2.620000000E2
2.820154570E2,2.630000000E2
2.825553880E2,2.640000000E2
2.827353670E2,2.630000000E2
2.829153530E2,2.640000000E2
2.832753070E2,2.650000000E2
2.836352620E2,2.660000000E2
2.838152410E2,2.650000000E2
2.841751990E2,2.660000000E2
2.843551760E2,2.670000000E2
2.848951090E2,2.660000000E2
2.850750950E2,2.650000000E2
2.857950934E2,2.670000000E2
2.859750704E2,2.660000000E2
2.861550524E2,2.650000000E2
2.870549384E2,2.640000000E2
2.872349274E2,2.630000000E2
2.874149034E2,2.640000000E2
2.875948824E2,2.650000000E2
2.881348134E2,2.640000000E2
2.886747564E2,2.650000000E2
2.897546314E2,2.660000000E2
